"
			The Batch {0} of an item {1} has negative stock in the warehouse {2}{3}.
			Please add a stock quantity of {4} to proceed with this entry.
			If it is not possible to make an adjustment entry, please enable 'Allow Negative Stock for Batch' in Stock Settings to proceed.
			However, enabling this setting may lead to negative stock in the system.
			So please ensure the stock levels are adjusted as soon as possible to maintain the correct valuation rate.","Партія {0} товару {1} має від’ємний запас на складі {2}{3}. Будь ласка, додайте кількість запасу {4}, щоб продовжити цей запис. Якщо неможливо зробити коригування запасу, будь ласка, увімкніть опцію ""Дозволити від’ємний запас для партії"" в налаштуваннях запасу, щоб продовжити. Однак увімкнення цього параметра може призвести до від’ємного запасу в системі. Тому, будь ласка, переконайтеся, що рівні запасів скориговано якомога швидше, щоб підтримувати правильний коефіцієнт оцінки.",
 Address,Адреса,
 Amount,Сума,
 BOM,ДОБРЕ,
 Default Work In Progress Warehouse ,Склад незавершеного виробництва за замовчуванням,
 Here are the options to proceed:,Ось варіанти продовження:,
" If you still want to proceed, please enable {0}.","Якщо ви все ще хочете продовжити, увімкніть {0}.",
 Is Child Table,Дочірня таблиця,
 Is Subcontracted,За субпідрядом,
 Item,Елемент,
 Name,Ім’я,
 Online PassKey,Онлайн PassKey,
 Phantom Item,Фантомний предмет,
 Purchase Value,Купівельна вартість,
 Quoted Amount,Котирувана сума,
 Rate,Оцінити,
 Raw Material,Сировина,
 Sales Value,Вартість продажу,
 Shipping Bill Number,Номер рахунку за доставку,
 Skip Material Transfer,Пропустити переміщення матеріалу,
 Sub Assembly,Підзбірка,
 Summary,Короткий зміст,
 Total Sales Amount,Загальна сума продажів,
 choose the 'Naming Series' option.,виберіть опцію &quot;Іменування серії&quot;.,
 days.,днів.,
 from {0},від {0},
 out of ,з,
 out of {0},із {0},
 performing either one below:,виконуючи один із наведених нижче:,
 to know more,щоб знати більше,
 to know more about them.,щоб дізнатися більше про них.,
 to your browser,у ваш браузер,
 to {0},до {0},
"""Company History""",&quot;Історія компанії&quot;,
"""Customer Provided Item"" cannot be Purchase Item also","""Товар, наданий клієнтом"", не може бути також товаром придбання",
"""Customer Provided Item"" cannot have Valuation Rate","""Товар, наданий клієнтом"" не може мати коефіцієнт оцінки",
"""From date"" can not be greater than or equal to ""To date""",&quot;З дати&quot; не може бути більше або дорівнювати &quot;На сьогодні&quot;,
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","Не можна зняти прапорець ""Є основним засобом"", оскільки для цього елемента існує запис про актив",
"""Parent"" signifies the parent table in which this row must be added","""Батько"" означає батьківську таблицю, в якій повинен бути доданий цей ряд",
"""SN-01::10"" for ""SN-01"" to ""SN-10""","""SN-01::10"" для ""SN-01"" – ""SN-10""",
"""Team Members"" or ""Management""",&quot;Члени команди&quot; або &quot;Управління&quot;,
"""amended_from"" field must be present to do an amendment.","Щоб внести поправку, повинно бути присутнє поле &quot;Змінено_від&quot;.",
"""{0}"" is not a valid Google Sheets URL",&quot;{0}&quot; не є дійсною URL-адресою Google Таблиць,
# In Stock,# В наявності,
# Req'd Items,# Необхідні елементи,
%  Delivered,% Доставлено,
% Amount Billed,% суми до рахунка,
% Billed,% виставленого рахунку,
% Complete,% Виконано,
% Complete Method,% завершення методу,
% Completed,% Виконано,
% Delivered,% Доставлено,
% Finished Item Quantity,% Кількість готового товару,
% Installed,% встановленого,
% Occupied,% зайнятості,
% Of Grand Total,% від загальної суми,
% Ordered,% замовлень,
% Picked,% Вибрано,
% Process Loss,% Втрати процесу,
% Produced,% Вироблено,
% Progress,% прогресу,
% Raw Material Received,% отриманої сировини,
% Raw Material Returned,% поверненої сировини,
% Received,Отримано %,
% Returned,% повернень,
% of materials billed against this Sales Order,"% матеріалів, виставлених на рахунок за цим замовленням на продаж",
% of materials delivered against this Delivery Note,% Матеріалів доставляється по цій накладній,
% of materials delivered against this Pick List,"% матеріалів, доставлених відповідно до цього списку вибору",
% of materials delivered against this Sales Order,"% матеріалів, поставлених за цим замовленням на продаж",
&lt;head&gt; HTML,&lt;HEAD&gt; HTML-,
'Account' in the Accounting section of Customer {0},"""Рахунок"" у розділі ""Бухгалтерський облік"" клієнта {0}",
'Allow Multiple Sales Orders Against a Customer's Purchase Order',"""Дозволити кілька замовлень на продаж для замовлення клієнта на купівлю""",
'Based On' and 'Group By' can not be same,"""На основі"" та ""Групувати за"" не можуть бути однаковими",
'Date' is required,&quot;Дата&quot; обов&#39;язкова,
'Days Since Last Order' must be greater than or equal to zero,"""Кількість днів з останнього замовлення"" має бути більшою або рівною нулю",
'Default {0} Account' in Company {1},"""Обліковий запис за замовчуванням {0}"" у компанії {1}",
'Entries' cannot be empty,"Поле ""Записи"" не може бути порожнім",
'From Date' is required,"""Дата від"" обов’язкова",
'From Date' must be after 'To Date',"""Дата початку"" має бути після ""Дати завершення""",
'Has Serial No' can not be 'Yes' for non-stock item,"""Має серійний номер"" не може бути ""Так"" для товару, якого немає в наявності",
'In Global Search' not allowed for type {0} in row {1},"""В глобальному пошуку"" не дозволений тип поля {0} в рядку {1}",
'In List View' not allowed for type {0} in row {1},"""У вигляді списку"" не допускається для типу {0} в рядку {1}",
"'Inspection Required before Delivery' has disabled for the item {0}, no need to create the QI","""Перевірка перед доставкою обов’язкова"" вимкнено для товару {0}, немає потреби створювати посвідчення особи (QI).",
"'Inspection Required before Purchase' has disabled for the item {0}, no need to create the QI","""Перевірка перед покупкою обов’язкова"" вимкнено для товару {0}, немає потреби створювати посвідчення особи (QI).",
'Opening',"""Відкриття""",
'Recipients' not specified,&quot;Одержувачі&quot; не вказано,
'To Case No.' cannot be less than 'From Case No.',"""До Випадку №"" не може бути менше, ніж ""З Випадку № '",
'To Date' is required,"""На сьогодні"" обов’язкове поле",
'To Package No.' cannot be less than 'From Package No.',"""Номер посилки до"" не може бути меншим за ""Номер посилки від""",
'Total','Разом',
'Update Stock' can not be checked because items are not delivered via {0},"Неможливо вибрати опцію ""Оновити наявність"", оскільки товари не доставляють через {0}",
'Update Stock' cannot be checked for fixed asset sale,"""Оновити запаси"" не можна перевірити для продажу основних засобів",
'{0}' account is already used by {1}. Use another account.,Обліковий запис ’{0}’ вже використовується користувачем {1}. Використайте інший обліковий запис.,
'{0}' has been already added.,’{0}’ вже додано.,
'{0}' not allowed for type {1} in row {2},&quot;{0}&quot; заборонено для типу {1} в рядку {2},
'{0}' should be in company currency {1}.,’{0}’ має бути у валюті компанії {1}.,
(A) Qty After Transaction,(A) Кількість після транзакції,
(B) Expected Qty After Transaction,(B) Очікувана кількість після транзакції,
(C) Total Qty in Queue,(C) Загальна кількість у черзі,
(C) Total qty in queue,(C) Загальна кількість у черзі,
(Ca+Mg)/K,(Ca + Mg) / K,
(D) Balance Stock Value,(D) Вартість балансового запасу,
(Daily Yield * No of Units Produced) / 100,(Щоденні врожайні витрати * Кількість вироблених одиниць) / 100,
(E) Balance Stock Value in Queue,(E) Вартість залишку запасу в черзі,
(F) Change in Stock Value,(F) Зміна вартості акцій,
(Forecast),(Прогноз),
(G) Sum of Change in Stock Value,(G) Сума зміни вартості акцій,
(Good Units Produced / Total Units Produced) × 100,(Вироблено хороших одиниць / Загальна кількість вироблених одиниць) × 100,
(H) Change in Stock Value (FIFO Queue),(H) Зміна вартості запасів (черга FIFO),
(H) Valuation Rate,(H) Коефіцієнт оцінки,
(Hour Rate / 60) * Actual Operation Time,(Годинна ставка / 60) * Фактичний час роботи,
(I) Valuation Rate,(I) Коефіцієнт оцінки,
(J) Valuation Rate as per FIFO,(J) Коефіцієнт оцінки згідно з FIFO,
(K) Valuation = Value (D) ÷ Qty (A),(K) Оцінка = Вартість (D) ÷ Кількість (A),
(Mandatory),(Обов’язково),
(Purchase Order + Material Request + Actual Expense),(Замовлення на придбання + Запит на матеріали + Фактичні витрати),
(Serial No: {0}) cannot be consumed as it's reserverd to fullfill Sales Order {1}.,"(Серійний номер: {0}) не можна використовувати, оскільки він резервується для повного заповнення замовлення на продаж {1}.",
(Total Workstation Time / Manufacturing Time) * 60,(Загальний час робочої станції / Час виробництва) * 60,
(including),(включно),
* Will be calculated in the transaction.,* Буде розраховано під час транзакції.,
** Failed: {0} to {1}: {2},** Не вдалося: {0} до {1}: {2},
**Currency** Master,**Валютний** Мастер,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** Бюджетний період ** являє собою бюджетний період. Всі бухгалтерські та інші основні операції відслідковуються у розрізі **Бюджетного періоду**.,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,"**Щомісячний розподіл** дозволяє розподілити Бюджет/Мету по місяцях, якщо у вашому бізнесі є сезонність.",
...Adding Article to Topics,... Додавання статті до тем,
...Adding Course to Programs,... Додавання курсу до програм,
...Adding Quiz to Topics,... Додавання вікторини до тем,
...Adding Topic to Courses,... Додавання теми до курсів,
0 - 30 Days,0 - 30 днів,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Чернетка; 1 - Проведено; 2 - Відмінено,
0 - too guessable: risky password.,0 — дуже легко вгадати: ризикований пароль,
