FOP Profile,Профіль ФОП,
UA KVED,КВЕД,
UA Tax Parameters,Податкові параметри УА,
Active,Активний,
Suspended,Призупинено,
Closed,Закрито,
Creation of {1}(s) successful,Створення {1} успішне,
{0} Coupon used are {1}. Allowed quantity is exhausted,Купон {0} використано {1} раз(и). Дозволену кількість вичерпано.,
{0} Number {1} is already used in {2} {3},Номер {0} {1} вже використовується в {2} {3},
Blocked,Заблоковано,
Close Shift,Закриття зміни,
Closed Offline,Закрито офлайн,
Closing,Закривається,
Confirmed,Підтверджено,
Disabled,Вимкнено,
DocType,Тип документа,
Expired,Термін дії минув,
Fiscalized,Фіскалізовано,
Not Sent,Не відправлено,
Offline,Офлайн,
Offline Begin,Початок офлайн-режиму,
Offline End,Завершення офлайн-режиму,
Online,Онлайн,
Open Shift,Відкриття зміни,
Opening,Відкривається,
POS Operational Shift,Робоча зміна каси,
POS Order,Касовий чек,
POS Profile,Профіль точки продажу,
PRRO Cash Register,Каса ПРРО,
PRRO Offline Session,Офлайн-сесія ПРРО,
PRRO Receipt,Фіскальний документ ПРРО,
PRRO Settings,Налаштування ПРРО,
PRRO Shift,Фіскальна зміна ПРРО,
Recovering,Відновлення зв’язку,
Sale,Продаж,
Sending,Надсилається,
Service In,Службове внесення,
Service Out,Службова видача,
Storno,Сторно,
UA Fiscal,Фіскалізація ПРРО,
UA KEP Key,Ключ КЕП,
Uncertain,Потребує перевірки,
Z Report,Z-звіт,
"A matching Sales Invoice was not found","Відповідний рахунок-фактуру продажу не знайдено",""
"API Base","Базова адреса API",""
"API Base URL","Базова URL-адреса API",""
"API Batch Size","Розмір пакета API",""
"API Login","Логін API",""
"API URL","URL-адреса API",""
"Accept Sandbox Callbacks","Приймати callback-запити пісочниці",""
"Account ID","Ідентифікатор рахунку",""
"Action Complete","Дію завершено",""
"Activate","Активувати",""
"Active Nova Poshta profile requires a complete default address or sender branch","Для активного профілю Нової пошти потрібна повна типова адреса або відділення відправника",""
"Active Nova Poshta profile requires a valid Ukrainian sender phone","Для активного профілю Нової пошти потрібен коректний український номер відправника",""
"Active Nova Poshta profile requires an API key","Для активного профілю Нової пошти потрібен ключ API",""
"Active Rozetka Delivery profile requires a static API token","Для активного профілю Rozetka Delivery потрібен статичний токен API",""
"Active Rozetka Delivery profile requires a valid Ukrainian sender phone","Для активного профілю Rozetka Delivery потрібен коректний український номер відправника",""
"Active Rozetka Delivery profile requires sender first and last name","Для активного профілю Rozetka Delivery потрібні ім’я та прізвище відправника",""
"Active Ukrposhta profile requires a five-digit postcode","Для активного профілю Укрпошти потрібен п’ятизначний індекс",""
"Active Ukrposhta profile requires a valid Ukrainian sender phone","Для активного профілю Укрпошти потрібен коректний український номер відправника",""
"Active Ukrposhta profile requires an eCom token","Для активного профілю Укрпошти потрібен токен eCom",""
"Add New","Додати",""
"Add Roles","Додати ролі",""
